time(s)	cellId	rnti	lcid	packetSize
0.584	1	4	3	132
0.584	1	3	3	132
0.584	1	2	3	1432
0.584	1	1	3	1432
0.585	1	4	3	132
0.585	1	3	3	132
0.586	1	4	3	132
0.586	1	3	3	132
0.586	1	2	3	1432
0.586	1	1	3	1432
0.587	1	4	3	132
0.587	1	3	3	132
0.588	1	4	3	132
0.588	1	3	3	132
0.588	1	2	3	1432
0.588	1	1	3	1432
0.589	1	4	3	132
0.589	1	3	3	132
0.59	1	4	3	132
0.59	1	3	3	132
0.59	1	2	3	1432
0.59	1	1	3	1432
0.591	1	4	3	132
0.591	1	3	3	132
0.592	1	4	3	132
0.592	1	3	3	132
0.592	1	2	3	1432
0.592	1	1	3	1432
0.593	1	4	3	132
0.593	1	3	3	132
0.594	1	4	3	132
0.594	1	3	3	132
0.594	1	2	3	1432
0.594	1	1	3	1432
0.595	1	4	3	132
0.595	1	3	3	132
0.596	1	4	3	132
0.596	1	3	3	132
0.596	1	2	3	1432
0.596	1	1	3	1432
0.597	1	4	3	132
0.597	1	3	3	132
0.598	1	4	3	132
0.598	1	3	3	132
0.598	1	2	3	1432
0.598	1	1	3	1432
0.599	1	4	3	132
0.599	1	3	3	132
0.6	1	4	3	132
0.6	1	3	3	132
0.6	1	2	3	1432
0.6	1	1	3	1432
0.601	1	4	3	132
0.601	1	3	3	132
0.602	1	6	3	82
0.602	1	5	3	82
0.602	1	4	3	132
0.602	1	3	3	132
0.602	1	2	3	1432
0.602	1	1	3	1432
0.603	1	4	3	132
0.603	1	3	3	132
0.604	1	4	3	132
0.604	1	3	3	132
0.604	1	2	3	1432
0.604	1	1	3	1432
0.605	1	4	3	132
0.605	1	3	3	132
0.606	1	4	3	132
0.606	1	3	3	132
0.606	1	2	3	1432
0.606	1	1	3	1432
0.607	1	4	3	132
0.607	1	3	3	132
0.608	1	4	3	132
0.608	1	3	3	132
0.608	1	2	3	1432
0.608	1	1	3	1432
0.609	1	4	3	132
0.609	1	3	3	132
0.61	1	4	3	132
0.61	1	3	3	132
0.61	1	2	3	1432
0.61	1	1	3	1432
0.611	1	4	3	132
0.611	1	3	3	132
0.612	1	4	3	132
0.612	1	3	3	132
0.612	1	2	3	1432
0.612	1	1	3	1432
0.613	1	4	3	132
0.613	1	3	3	132
0.614	1	4	3	132
0.614	1	3	3	132
0.614	1	2	3	1432
0.614	1	1	3	1432
0.615	1	4	3	132
0.615	1	3	3	132
0.616	1	4	3	132
0.616	1	3	3	132
0.616	1	2	3	1432
0.616	1	1	3	1432
0.617	1	4	3	132
0.617	1	3	3	132
0.618	1	4	3	132
0.618	1	3	3	132
0.618	1	2	3	1432
0.618	1	1	3	1432
0.619	1	4	3	132
0.619	1	3	3	132
0.62	1	4	3	132
0.62	1	3	3	132
0.62	1	2	3	1432
0.62	1	1	3	1432
0.621	1	4	3	132
0.621	1	3	3	132
0.622	1	4	3	132
0.622	1	3	3	132
0.622	1	2	3	1432
0.622	1	1	3	1432
0.623	1	4	3	132
