% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0172143	1	6	0	6.54438e-11	137968	0
0.0182143	1	1	0	5.19678e-10	1.09558e+06	0
0.0182143	1	2	0	4.05894e-10	855700	0
0.0182143	1	3	0	2.45749e-10	518085	0
0.0182143	1	4	0	1.48351e-10	312752	0
0.0182143	1	5	0	9.54346e-11	201194	0
0.0182143	1	6	0	6.54362e-11	137952	0
0.0192143	1	1	0	5.19678e-10	1.09558e+06	0
0.0192143	1	2	0	4.05835e-10	855576	0
0.0192143	1	3	0	2.45706e-10	517994	0
0.0192143	1	4	0	1.48328e-10	312703	0
0.0192143	1	5	0	9.54217e-11	201167	0
0.0192143	1	6	0	6.54286e-11	137936	0
0.0202143	1	1	0	5.19677e-10	1.09558e+06	0
0.0202143	1	2	0	4.05776e-10	855452	0
0.0202143	1	3	0	2.45663e-10	517903	0
0.0202143	1	4	0	1.48304e-10	312653	0
0.0202143	1	5	0	9.54087e-11	201139	0
0.0202143	1	6	0	6.54209e-11	137919	0
0.0212143	1	1	1	5.19677e-10	1.09557e+06	0
0.0212143	1	2	0	4.05718e-10	855328	0
0.0212143	1	3	2	2.4562e-10	517812	0
0.0212143	1	4	4	1.48281e-10	312604	0
0.0212143	1	5	0	9.53958e-11	201112	0
0.0212143	1	6	3	6.54133e-11	137903	0
0.0222143	1	1	1	5.19676e-10	1.09557e+06	0
0.0222143	1	2	0	4.05659e-10	855203	0
0.0222143	1	3	2	2.45577e-10	517722	0
0.0222143	1	4	4	1.48257e-10	312554	0
0.0222143	1	5	0	9.53828e-11	201085	0
0.0222143	1	6	3	6.54057e-11	137887	0
0.0232143	1	1	1	5.19675e-10	1.09557e+06	0
0.0232143	1	2	0	4.056e-10	855079	0
0.0232143	1	3	2	2.45534e-10	517631	0
0.0232143	1	4	4	1.48234e-10	312505	0
0.0232143	1	5	0	9.53698e-11	201057	0
0.0232143	1	6	3	6.53981e-11	137871	0
0.0242143	1	1	1	5.19674e-10	1.09557e+06	0
0.0242143	1	2	0	4.05541e-10	854955	0
0.0242143	1	3	2	2.45491e-10	517540	0
0.0242143	1	4	4	1.4821e-10	312455	0
0.0242143	1	5	0	9.53569e-11	201030	0
0.0242143	1	6	3	6.53905e-11	137855	0
0.0252143	1	1	1	5.19674e-10	1.09557e+06	0
0.0252143	1	2	0	4.05482e-10	854831	0
0.0252143	1	3	2	2.45448e-10	517450	0
0.0252143	1	4	4	1.48187e-10	312406	0
0.0252143	1	5	0	9.53439e-11	201003	0
0.0252143	1	6	3	6.53829e-11	137839	0
0.0262143	1	1	1	5.19673e-10	1.09557e+06	0
0.0262143	1	2	6	4.05423e-10	854707	0
0.0262143	1	3	2	2.45405e-10	517359	0
0.0262143	1	4	4	1.48164e-10	312356	0
0.0262143	1	5	5	9.5331e-11	200975	0
0.0262143	1	6	3	6.53753e-11	137823	0
0.0272143	1	1	1	5.19672e-10	1.09556e+06	0
0.0272143	1	2	6	4.05364e-10	854582	0
0.0272143	1	3	2	2.45362e-10	517268	0
0.0272143	1	4	4	1.4814e-10	312307	0
0.0272143	1	5	5	9.53181e-11	200948	0
0.0272143	1	6	3	6.53677e-11	137807	0
0.0282143	1	1	1	5.19671e-10	1.09556e+06	0
0.0282143	1	2	6	4.05305e-10	854458	0
0.0282143	1	3	2	2.45319e-10	517178	0
0.0282143	1	4	4	1.48117e-10	312257	0
0.0282143	1	5	5	9.53051e-11	200921	0
0.0282143	1	6	3	6.53601e-11	137791	0
0.0292143	1	1	1	5.1967e-10	1.09556e+06	0
0.0292143	1	2	6	4.05246e-10	854334	0
0.0292143	1	3	2	2.45276e-10	517087	0
0.0292143	1	4	4	1.48093e-10	312208	0
0.0292143	1	5	5	9.52922e-11	200894	0
0.0292143	1	6	3	6.53525e-11	137775	0
0.0302143	1	1	1	5.19669e-10	1.09556e+06	0
0.0302143	1	2	6	4.05187e-10	854210	0
0.0302143	1	3	2	2.45233e-10	516997	0
0.0302143	1	4	4	1.4807e-10	312158	0
0.0302143	1	5	5	9.52792e-11	200866	0
0.0302143	1	6	3	6.53449e-11	137759	0
0.0312143	1	1	1	5.19668e-10	1.09556e+06	0
0.0312143	1	2	6	4.05128e-10	854086	0
0.0312143	1	3	2	2.4519e-10	516906	0
0.0312143	1	4	4	1.48046e-10	312109	0
0.0312143	1	5	5	9.52663e-11	200839	0
0.0312143	1	6	3	6.53373e-11	137743	0
0.0322143	1	1	1	5.19667e-10	1.09555e+06	0
0.0322143	1	2	6	4.05069e-10	853961	0
0.0322143	1	3	2	2.45147e-10	516816	0
0.0322143	1	4	4	1.48023e-10	312059	0
0.0322143	1	5	5	9.52534e-11	200812	0
0.0322143	1	6	3	6.53297e-11	137727	0
0.0332143	1	1	1	5.19666e-10	1.09555e+06	0
0.0332143	1	2	6	4.05011e-10	853837	0
0.0332143	1	3	2	2.45104e-10	516725	0
0.0332143	1	4	4	1.47999e-10	312010	0
0.0332143	1	5	5	9.52404e-11	200784	0
0.0332143	1	6	3	6.53221e-11	137711	0
0.0342143	1	1	1	5.19665e-10	1.09555e+06	0
0.0342143	1	2	6	4.04952e-10	853713	0
0.0342143	1	3	2	2.45061e-10	516635	0
0.0342143	1	4	4	1.47976e-10	311961	0
0.0342143	1	5	5	9.52275e-11	200757	0
0.0342143	1	6	3	6.53145e-11	137695	0
0.0352143	1	1	1	5.19664e-10	1.09555e+06	0
0.0352143	1	2	6	4.04893e-10	853589	0
0.0352143	1	3	2	2.45018e-10	516544	0
0.0352143	1	4	4	1.47952e-10	311911	0
0.0352143	1	5	5	9.52146e-11	200730	0
0.0352143	1	6	3	6.53069e-11	137679	0
0.0362143	1	1	1	5.19663e-10	1.09555e+06	0
0.0362143	1	2	6	4.04834e-10	853464	0
0.0362143	1	3	2	2.44976e-10	516454	0
0.0362143	1	4	4	1.47929e-10	311862	0
0.0362143	1	5	5	9.52017e-11	200703	0
0.0362143	1	6	3	6.52993e-11	137663	0
0.0372143	1	1	1	5.19662e-10	1.09554e+06	0
0.0372143	1	2	6	4.04775e-10	853340	0
0.0372143	1	3	2	2.44933e-10	516363	0
0.0372143	1	4	4	1.47906e-10	311812	0
0.0372143	1	5	5	9.51887e-11	200675	0
0.0372143	1	6	3	6.52917e-11	137647	0
0.0382143	1	1	1	5.1966e-10	1.09554e+06	0
0.0382143	1	2	6	4.04716e-10	853216	0
0.0382143	1	3	2	2.4489e-10	516273	0
0.0382143	1	4	4	1.47882e-10	311763	0
0.0382143	1	5	5	9.51758e-11	200648	0
0.0382143	1	6	3	6.52841e-11	137631	0
0.0392143	1	1	1	5.19659e-10	1.09554e+06	0
0.0392143	1	2	6	4.04657e-10	853092	0
0.0392143	1	3	2	2.44847e-10	516182	0
0.0392143	1	4	4	1.47859e-10	311714	0
0.0392143	1	5	5	9.51629e-11	200621	0
0.0392143	1	6	3	6.52765e-11	137615	0
0.0402143	1	1	1	5.19658e-10	1.09554e+06	0
