% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
1145	1	2	6	0	0	28	2196	0	1	1	0
1146	1	1	1	0	0	28	2196	0	1	1	0
1147	1	3	2	0	0	28	2196	0	1	1	0
1148	1	3	2	0	0	28	2196	0	1	1	0
1149	1	3	2	0	0	28	2196	0	1	1	0
1150	1	3	2	0	0	28	2196	0	1	1	0
1151	1	2	6	0	0	28	2196	0	1	1	0
1152	1	3	2	0	0	28	2196	0	1	1	0
1153	1	4	4	0	0	28	2196	0	1	1	0
1154	1	3	2	0	0	28	2196	0	1	1	0
1155	1	1	1	0	0	28	2196	0	1	1	0
1156	1	4	4	0	0	28	2196	0	1	1	0
1157	1	2	6	0	0	28	2196	0	1	1	0
1158	1	3	2	0	0	28	2196	0	1	1	0
1159	1	4	4	0	0	28	2196	0	1	1	0
1160	1	3	2	0	0	28	2196	0	1	1	0
1161	1	4	4	0	0	28	2196	0	1	1	0
1162	1	3	2	0	0	28	2196	0	1	1	0
1163	1	4	4	0	0	28	2196	0	1	1	0
1164	1	3	2	0	0	28	2196	0	1	1	0
1165	1	1	1	0	0	28	2196	0	1	1	0
1166	1	4	4	0	0	28	2196	0	1	1	0
1167	1	3	2	0	0	28	2196	0	1	1	0
1169	1	4	4	0	0	28	2196	0	1	1	0
1170	1	4	4	0	0	28	2196	0	1	1	0
1173	1	4	4	0	0	28	2196	0	1	1	0
1175	1	2	6	0	0	28	2196	0	1	1	0
1176	1	1	1	0	0	28	2196	0	1	1	0
1177	1	3	2	0	0	28	2196	0	1	1	0
1178	1	3	2	0	0	28	2196	0	1	1	0
1179	1	2	6	0	0	28	2196	0	1	1	0
1180	1	3	2	0	0	28	2196	0	1	1	0
1181	1	4	4	0	0	28	2196	0	1	1	0
1182	1	3	2	0	0	28	2196	0	1	1	0
1183	1	3	2	0	0	28	2196	0	1	1	0
1184	1	4	4	0	0	28	2196	0	1	1	0
1185	1	1	1	0	0	28	2196	0	1	1	0
1186	1	3	2	0	0	28	2196	0	1	1	0
1187	1	4	4	0	0	28	2196	0	1	1	0
1188	1	2	6	0	0	28	2196	0	1	1	0
1189	1	4	4	0	0	28	2196	0	1	1	0
1190	1	3	2	0	0	28	2196	0	1	1	0
1191	1	4	4	0	0	28	2196	0	1	1	0
1192	1	4	4	0	0	28	2196	0	1	1	0
1193	1	4	4	0	0	28	2196	0	1	1	0
1194	1	3	2	0	0	28	2196	0	1	1	0
1195	1	1	1	0	0	28	2196	0	1	1	0
1196	1	3	2	0	0	28	2196	0	1	1	0
1197	1	3	2	0	0	28	2196	0	1	1	0
1198	1	4	4	0	0	28	2196	0	1	1	0
1199	1	3	2	0	0	28	2196	0	1	1	0
1200	1	4	4	0	0	28	2196	0	1	1	0
1202	1	2	6	0	0	28	2196	0	1	1	0
1203	1	3	2	0	0	28	2196	0	1	1	0
1204	1	3	2	0	0	28	2196	0	1	1	0
1205	1	1	1	0	0	28	2196	0	1	1	0
1206	1	3	2	0	0	28	2196	0	1	1	0
1207	1	2	6	0	0	28	2196	0	1	1	0
1208	1	3	2	0	0	28	2196	0	1	1	0
1209	1	4	4	0	0	28	2196	0	1	1	0
1210	1	4	4	0	0	28	2196	0	1	1	0
1211	1	3	2	0	0	28	2196	0	1	1	0
1213	1	4	4	0	0	28	2196	0	1	1	0
1214	1	3	2	0	0	28	2196	0	1	1	0
1215	1	1	1	0	0	28	2196	0	1	1	0
1216	1	4	4	0	0	28	2196	0	1	1	0
1217	1	4	4	0	0	28	2196	0	1	1	0
1218	1	4	4	0	0	28	2196	0	1	1	0
1219	1	3	2	0	0	28	2196	0	1	1	0
1220	1	3	2	0	0	28	2196	0	1	1	0
1221	1	3	2	0	0	28	2196	0	1	1	0
1222	1	2	6	0	0	28	2196	0	1	1	0
1223	1	4	4	0	0	28	2196	0	1	1	0
1224	1	4	4	0	0	28	2196	0	1	1	0
1225	1	1	1	0	0	28	2196	0	1	1	0
1226	1	4	4	0	0	28	2196	0	1	1	0
1227	1	3	2	0	0	28	2196	0	1	1	0
1228	1	4	4	0	0	28	2196	0	1	1	0
1229	1	2	6	0	0	28	2196	0	1	1	0
1230	1	3	2	0	0	28	2196	0	1	1	0
1231	1	4	4	0	0	28	2196	0	1	1	0
1232	1	3	2	0	0	28	2196	0	1	1	0
1233	1	4	4	0	0	28	2196	0	1	1	0
1234	1	3	2	0	0	28	2196	0	1	1	0
1235	1	1	1	0	0	28	2196	0	1	1	0
1236	1	4	4	0	0	28	2196	0	1	1	0
1237	1	3	2	0	0	28	2196	0	1	1	0
1238	1	2	6	0	0	28	2196	0	1	1	0
1239	1	4	4	0	0	28	2196	0	1	1	0
1240	1	3	2	0	0	28	2196	0	1	1	0
1241	1	4	4	0	0	28	2196	0	1	1	0
1242	1	4	4	0	0	28	2196	0	1	1	0
1244	1	3	2	0	0	28	2196	0	1	1	0
1245	1	1	1	0	0	28	2196	0	1	1	0
1246	1	3	2	0	0	28	2196	0	1	1	0
1247	1	4	4	0	0	28	2196	0	1	1	0
1248	1	3	2	0	0	28	2196	0	1	1	0
1249	1	2	6	0	0	28	2196	0	1	1	0
1250	1	3	2	0	0	28	2196	0	1	1	0
1251	1	3	2	0	0	28	2196	0	1	1	0
1252	1	4	4	0	0	28	2196	0	1	1	0
1253	1	3	2	0	0	28	2196	0	1	1	0
1254	1	3	2	0	0	28	2196	0	1	1	0
1255	1	1	1	0	0	28	2196	0	1	1	0
1256	1	3	2	0	0	28	2196	0	1	1	0
1257	1	4	4	0	0	28	2196	0	1	1	0
1261	1	4	4	0	0	28	2196	0	1	1	0
1262	1	4	4	0	0	28	2196	0	1	1	0
1263	1	4	4	0	0	28	2196	0	1	1	0
1264	1	2	6	0	0	28	2196	0	1	1	0
1265	1	1	1	0	0	28	2196	0	1	1	0
1266	1	3	2	0	0	28	2196	0	1	1	0
1267	1	4	4	0	0	28	2196	0	1	1	0
1268	1	3	2	0	0	28	2196	0	1	1	0
1269	1	4	4	0	0	28	2196	0	1	1	0
1270	1	3	2	0	0	28	2196	0	1	1	0
1271	1	2	6	0	0	28	2196	0	1	1	0
1272	1	3	2	0	0	28	2196	0	1	1	0
1273	1	4	4	0	0	28	2196	0	1	1	0
1274	1	4	4	0	0	28	2196	0	1	1	0
1275	1	1	1	0	0	28	2196	0	1	1	0
1276	1	3	2	0	0	28	2196	0	1	1	0
1277	1	4	4	0	0	28	2196	0	1	1	0
1278	1	2	6	0	0	28	2196	0	1	1	0
1279	1	3	2	0	0	28	2196	0	1	1	0
1280	1	4	4	0	0	28	2196	0	1	1	0
1281	1	3	2	0	0	28	2196	0	1	1	0
1282	1	4	4	0	0	28	2196	0	1	1	0
1283	1	3	2	0	0	28	2196	0	1	1	0
1284	1	3	2	0	0	28	2196	0	1	1	0
1285	1	1	1	0	0	28	2196	0	1	1	0
1286	1	4	4	0	0	28	2196	0	1	1	0
1287	1	3	2	0	0	28	2196	0	1	1	0
