time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.551029	1	4	3	130	0.00402465
0.552029	1	3	3	130	0.00402828
0.552029	1	4	3	130	0.00402815
0.553029	1	1	3	1430	0.0040261
0.553029	1	2	3	1430	0.00402492
0.553029	1	3	3	130	0.00402479
0.553029	1	4	3	130	0.00402465
0.554029	1	3	3	130	0.00402828
0.554029	1	4	3	130	0.00402815
0.555029	1	1	3	1430	0.00402601
0.555029	1	2	3	1430	0.00402484
0.555029	1	3	3	130	0.0040247
0.555029	1	4	3	130	0.00402456
0.555029	1	5	3	80	0.00402836
0.555029	1	6	3	80	0.00402827
0.556029	1	3	3	130	0.00402828
0.556029	1	4	3	130	0.00402815
0.557029	1	1	3	1430	0.0040261
0.557029	1	2	3	1430	0.00402492
0.557029	1	3	3	130	0.00402479
0.557029	1	4	3	130	0.00402465
0.558029	1	3	3	130	0.00402828
0.558029	1	4	3	130	0.00402815
0.559029	1	1	3	1430	0.0040261
0.559029	1	2	3	1430	0.00402492
0.559029	1	3	3	130	0.00402479
0.559029	1	4	3	130	0.00402465
0.560029	1	3	3	130	0.00402828
0.560029	1	4	3	130	0.00402815
0.561029	1	1	3	1430	0.0040261
0.561029	1	2	3	1430	0.00402492
0.561029	1	3	3	130	0.00402479
0.561029	1	4	3	130	0.00402465
0.562029	1	3	3	130	0.00402828
0.562029	1	4	3	130	0.00402815
0.563029	1	1	3	1430	0.0040261
0.563029	1	2	3	1430	0.00402492
0.563029	1	3	3	130	0.00402479
0.563029	1	4	3	130	0.00402465
0.564029	1	3	3	130	0.00402828
0.564029	1	4	3	130	0.00402815
0.565029	1	1	3	1430	0.0040261
0.565029	1	2	3	1430	0.00402492
0.565029	1	3	3	130	0.00402479
0.565029	1	4	3	130	0.00402465
0.566029	1	3	3	130	0.00402828
0.566029	1	4	3	130	0.00402815
0.567029	1	1	3	1430	0.0040261
0.567029	1	2	3	1430	0.00402492
0.567029	1	3	3	130	0.00402479
0.567029	1	4	3	130	0.00402465
0.568029	1	3	3	130	0.00402828
0.568029	1	4	3	130	0.00402815
0.569029	1	1	3	1430	0.0040261
0.569029	1	2	3	1430	0.00402492
0.569029	1	3	3	130	0.00402479
0.569029	1	4	3	130	0.00402465
0.570029	1	3	3	130	0.00402828
0.570029	1	4	3	130	0.00402815
0.571029	1	1	3	1430	0.0040261
0.571029	1	2	3	1430	0.00402492
0.571029	1	3	3	130	0.00402479
0.571029	1	4	3	130	0.00402465
0.572029	1	3	3	130	0.00402828
0.572029	1	4	3	130	0.00402815
0.573029	1	1	3	1430	0.0040261
0.573029	1	2	3	1430	0.00402492
0.573029	1	3	3	130	0.00402479
0.573029	1	4	3	130	0.00402465
0.574029	1	3	3	130	0.00402828
0.574029	1	4	3	130	0.00402815
0.575029	1	1	3	1430	0.0040261
0.575029	1	2	3	1430	0.00402492
0.575029	1	3	3	130	0.00402479
0.575029	1	4	3	130	0.00402465
0.576029	1	3	3	130	0.00402828
0.576029	1	4	3	130	0.00402815
0.577029	1	1	3	1430	0.0040261
0.577029	1	2	3	1430	0.00402492
0.577029	1	3	3	130	0.00402479
0.577029	1	4	3	130	0.00402465
0.578029	1	3	3	130	0.00402828
0.578029	1	4	3	130	0.00402815
0.578957	1	1	3	1430	0.00395467
0.578957	1	2	3	1430	0.00395349
