% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
1105	1	5	5	0	28	1095	0	1	0
1106	1	5	5	0	28	1095	0	1	0
1106	1	6	3	0	28	1095	0	1	0
1107	1	5	5	0	28	1095	0	1	0
1108	1	5	5	0	28	1095	0	1	0
1109	1	6	3	0	28	1095	0	1	0
1110	1	5	5	0	28	1095	0	1	0
1111	1	4	4	0	28	749	0	1	0
1111	1	5	5	0	28	749	0	1	0
1112	1	4	4	0	28	749	0	1	0
1112	1	5	5	0	28	749	0	1	0
1113	1	4	4	0	28	749	0	1	0
1113	1	5	5	0	28	749	0	1	0
1113	1	6	3	0	28	749	0	1	0
1114	1	5	5	0	28	1095	0	1	0
1114	1	6	3	0	28	1095	0	1	0
1115	1	5	5	0	28	1095	0	1	0
1115	1	6	3	0	28	1095	0	1	0
1116	1	5	5	0	28	1095	0	1	0
1117	1	5	5	0	28	1095	0	1	0
1118	1	5	5	0	28	1095	0	1	0
1119	1	5	5	0	28	1095	0	1	0
1120	1	5	5	0	28	1095	0	1	0
1121	1	4	4	0	28	749	0	1	0
1121	1	5	5	0	28	749	0	1	0
1121	1	6	3	0	28	749	0	1	0
1122	1	4	4	0	28	749	0	1	0
1122	1	5	5	0	28	749	0	1	0
1122	1	6	3	0	28	749	0	1	0
1123	1	4	4	0	28	749	0	1	0
1123	1	5	5	0	28	749	0	1	0
1123	1	6	3	0	28	749	0	1	0
1124	1	5	5	0	28	1095	0	1	0
1125	1	5	5	0	28	1095	0	1	0
1126	1	5	5	0	28	1095	0	1	0
1126	1	6	3	0	28	1095	0	1	0
1127	1	5	5	0	28	1095	0	1	0
1127	1	6	3	0	28	1095	0	1	0
1128	1	5	5	0	28	1095	0	1	0
1128	1	6	3	0	28	1095	0	1	0
1129	1	5	5	0	28	1095	0	1	0
1129	1	6	3	0	28	1095	0	1	0
1130	1	5	5	0	28	1095	0	1	0
1131	1	4	4	0	28	749	0	1	0
1131	1	5	5	0	28	749	0	1	0
1131	1	6	3	0	28	749	0	1	0
1132	1	4	4	0	28	749	0	1	0
1132	1	5	5	0	28	749	0	1	0
1132	1	6	3	0	28	749	0	1	0
1133	1	4	4	0	28	749	0	1	0
1133	1	5	5	0	28	749	0	1	0
1134	1	6	3	0	28	2292	0	1	0
1135	1	6	3	0	28	2292	0	1	0
1137	1	6	3	0	28	2292	0	1	0
1138	1	6	3	0	28	2292	0	1	0
1139	1	6	3	0	28	2292	0	1	0
1141	1	4	4	0	28	749	0	1	0
1141	1	5	5	0	28	749	0	1	0
1142	1	4	4	0	28	749	0	1	0
1142	1	5	5	0	28	749	0	1	0
1143	1	4	4	0	28	749	0	1	0
1143	1	5	5	0	28	749	0	1	0
1143	1	6	3	0	28	749	0	1	0
1144	1	5	5	0	28	1095	0	1	0
1144	1	6	3	0	28	1095	0	1	0
1145	1	5	5	0	28	1095	0	1	0
1145	1	6	3	0	28	1095	0	1	0
1146	1	5	5	0	28	1095	0	1	0
