time(s)	cellId	rnti	lcid	packetSize
0.581002	1	1	3	1430
0.581004	1	2	3	1430
0.581004	1	3	3	130
0.581004	1	4	3	130
0.582	1	3	3	130
0.582	1	4	3	130
0.583002	1	1	3	1430
0.583004	1	2	3	1430
0.583004	1	3	3	130
0.583004	1	4	3	130
0.584	1	3	3	130
0.584	1	4	3	130
0.585002	1	1	3	1430
0.585004	1	2	3	1430
0.585004	1	3	3	130
0.585004	1	4	3	130
0.586	1	3	3	130
0.586	1	4	3	130
0.587002	1	1	3	1430
0.587004	1	2	3	1430
0.587004	1	3	3	130
0.587004	1	4	3	130
0.588	1	3	3	130
0.588	1	4	3	130
0.589002	1	1	3	1430
0.589004	1	2	3	1430
0.589004	1	3	3	130
0.589004	1	4	3	130
0.59	1	3	3	130
0.59	1	4	3	130
0.591002	1	1	3	1430
0.591004	1	2	3	1430
0.591004	1	3	3	130
0.591004	1	4	3	130
0.592	1	3	3	130
0.592	1	4	3	130
0.593002	1	1	3	1430
0.593004	1	2	3	1430
0.593004	1	3	3	130
0.593004	1	4	3	130
0.594	1	3	3	130
0.594	1	4	3	130
0.595002	1	1	3	1430
0.595004	1	2	3	1430
0.595004	1	3	3	130
0.595004	1	4	3	130
0.596	1	3	3	130
0.596	1	4	3	130
0.597002	1	1	3	1430
0.597004	1	2	3	1430
0.597004	1	3	3	130
0.597004	1	4	3	130
0.598	1	3	3	130
0.598	1	4	3	130
0.599002	1	1	3	1430
0.599004	1	2	3	1430
0.599004	1	3	3	130
0.599004	1	4	3	130
0.6	1	3	3	130
0.6	1	4	3	130
0.601	1	5	3	80
0.601	1	6	3	80
0.601003	1	1	3	1430
0.601004	1	2	3	1430
0.601004	1	3	3	130
0.601004	1	4	3	130
0.602	1	3	3	130
0.602	1	4	3	130
0.603002	1	1	3	1430
0.603004	1	2	3	1430
0.603004	1	3	3	130
0.603004	1	4	3	130
0.604	1	3	3	130
0.604	1	4	3	130
0.605002	1	1	3	1430
0.605004	1	2	3	1430
0.605004	1	3	3	130
0.605004	1	4	3	130
0.606	1	3	3	130
0.606	1	4	3	130
0.607002	1	1	3	1430
0.607004	1	2	3	1430
0.607004	1	3	3	130
0.607004	1	4	3	130
0.608	1	3	3	130
0.608	1	4	3	130
0.609002	1	1	3	1430
0.609004	1	2	3	1430
0.609004	1	3	3	130
0.609004	1	4	3	130
0.61	1	3	3	130
0.61	1	4	3	130
0.611002	1	1	3	1430
0.611004	1	2	3	1430
0.611004	1	3	3	130
0.611004	1	4	3	130
0.612	1	3	3	130
0.612	1	4	3	130
